identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0405812.0,356.33,2.96,0.68,False,0.46,Polyketides,Chromanes,595707,9.846007,11.1301365
CNP0410141.1,282.34,-0.07,0.63,False,2.73,Terpenoids,Sesquiterpenoids,595779,6.123891,3.8175926
CNP0193466.4,337.42,1.27,0.53,False,2.72,Alkaloids,Ornithine alkaloids,595824,6.905282,4.4544487
CNP0274636.6,396.66,7.33,0.49,False,3.04,Terpenoids,Steroids,595826,6.2594824,1.0636067
CNP0297454.1,840.91,-0.8,0.08,False,0.09,Amino acids and Peptides,Oligopeptides,595842,12.057121,5.344804
CNP0166381.1,783.92,-2.27,0.07,False,0.3,Amino acids and Peptides,Oligopeptides,595853,9.439076,4.0633616
CNP0026019.1,314.37,3.28,0.8,False,-1.57,Alkaloids,,595873,10.084071,6.442399
CNP0394884.1,458.73,6.42,0.43,False,3.33,Terpenoids,Triterpenoids,595889,6.137742,1.7450649
CNP0593066.2,435.36,0.73,0.21,True,1.96,Shikimates and Phenylpropanoids,Flavonoids,595959,5.083022,14.147229
CNP0295420.2,117.19,0.35,0.56,False,1.02,Alkaloids,,595969,9.287835,2.4776058
CNP0440376.1,584.63,3.69,0.45,False,0.62,Alkaloids,,595973,7.4362125,10.93054
CNP0393159.1,456.58,6.11,0.23,False,2.08,Shikimates and Phenylpropanoids,Coumarins,595996,7.156281,6.4865804
CNP0314282.1,1105.28,-2.04,0.06,True,2.02,Terpenoids,Triterpenoids,595997,8.288918,16.85424
CNP0606236.1,877.47,18.09,0.03,False,0.38,Fatty acids,Glycerolipids,595999,1.479769,-12.307185
CNP0596654.1,961.64,20.58,0.03,False,0.26,Fatty acids,Glycerolipids,596060,8.125431,-18.958673
CNP0065581.0,376.49,5.2,0.42,False,-1.55,Shikimates and Phenylpropanoids,,596133,9.927302,7.075888
CNP0514002.0,230.36,3.62,0.7,False,0.24,Alkaloids,Tryptophan alkaloids,596135,12.034853,7.939928
CNP0600416.2,905.53,19.02,0.03,False,0.27,Fatty acids,Glycerolipids,596196,8.197028,-18.91277
CNP0467117.1,388.46,2.32,0.83,False,-0.62,Unclassified,,596242,10.817738,5.452182
CNP0400417.1,488.75,6.85,0.3,False,2.83,Terpenoids,Triterpenoids,596260,4.8340254,2.8714943
CNP0228080.0,290.27,3.02,0.77,False,1.41,Shikimates and Phenylpropanoids,,596284,8.394603,10.896167
CNP0530706.0,272.3,2.03,0.83,False,-0.04,Alkaloids,,596340,9.627453,7.873318
CNP0378828.1,820.85,4.23,0.31,False,0.94,Alkaloids,,596347,10.504381,9.470424
CNP0361963.0,253.26,2.71,0.62,False,-0.21,Shikimates and Phenylpropanoids,Flavonoids,596364,8.572474,8.077071
CNP0338544.2,581.06,2.81,0.39,False,1.76,Polyketides,Macrolides,596391,5.6790795,6.631528
CNP0401337.0,509.51,4.44,0.34,False,0.37,Shikimates and Phenylpropanoids,Isoflavonoids,596409,9.406164,10.89953
